Nome,Cidade,Tipo,Latitude/Longitude,HorÃ¡rio Funcionamento,Categoria,avaliacao
Igreja Nossa senhora do RosÃ¡rio,Piedade do Rio Grande,Igreja,"-21.456223587339817, -44.198668769798225",,Fechado,4.8
Pousada Chave de Sol,Piedade do Rio Grande,Pousada,"-21.48337716766475, -44.29138519019751",,Fechado,4.3
Pousada dos viajantes ,Piedade do Rio Grande,Pousada,"-21.48594193409586, -44.30477641154854",,Fechado,4.7
Pousada luar de prata ,Piedade do Rio Grande,Pousada,"-21.484635542934164, -44.313769753549686",,Fechado,4.5
Bar e restaurante do Nane ,Piedade do Rio Grande,Restaurante,"-21.4668336559262, -44.1980803319814",,Fechado,4.8
CafÃ© Daju ,Piedade do Rio Grande,Restaurante,"-21.47074357332198, -44.1963220422327",,Fechado,4.8
Bar do Tonho da Bradinha ,Piedade do Rio Grande,Restaurante,"-21.466964843751363, -44.19465958085504",,Fechado,4.2
