Nome,Cidade,Tipo,Latitude/Longitude,HorÃ¡rio Funcionamento,Categoria,avaliacao
Igreja de Pedra (Nossa Senhora do RosÃ¡rio),Coronel Xavier Chaves - MG,igreja,"-21.02130878474155, -44.22366983310554",,Fechado,5.0
DormitÃ³rio Santana,Piedade do Rio Grande ,Hotel,"-21.60163411079178, -43.94789639188657",,Fechado,4.5
Sushidojovem,Piedade do Rio Grande ,Restaurante,"-21.464495755748498, -44.19266245083024",,Fechado,5.0
Ribite Lanches,Piedade do Rio Grande ,Restaurante,"-21.4687199351111, -44.18876368143525",,Fechado,4.9
Restaurante e pizzaria da valdeia ,Piedade do Rio Grande ,Pizzaria,"-21.46372120939286, -44.167541434844246",,Fechado,4.6
