Nome,Cidade,Tipo,Latitude/Longitude,HorÃ¡rio Funcionamento,Categoria,avaliacao
Igreja Nossa Senhora das Dores,Dores de Campos ,Igreja,"-21.106348641597478, -44.02328199920321",,Fechado,5.0
Igreja Nossa Senhora do RosÃ¡rio,Dores de Campos ,Igreja,"-21.109834163817055, -44.02501532693739",,Fechado,4.9
Pousada Moura Ãvila,Dores de Campos ,Hotel,"-21.106089788266143, -44.03010654468572",,Fechado,4.3
Hotel Saldanha,Dores de Campos ,Hotel,"-21.106920518134665, -44.02484721136595",,Fechado,4.3
Gervan Hotel,Dores de Campos ,Hotel,"-21.107829123605324, -44.025208964449455",,Fechado,4.1
